               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084461,            0.019248,            0.023292,             0.39834,             0.49549,             0.51481,             0.30076,            0.039229,           0.0074789,            0.012092,            0.070118,           0.0033202,           0.0033202
                   1,            0.054548,            0.015742,             0.01276,             0.60197,             0.81909,             0.75363,             0.43042,            0.036323,           0.0054281,           0.0048349,            0.039819,           0.0063541,           0.0063541
                   2,            0.050709,            0.014276,           0.0088235,             0.51494,             0.84879,             0.76298,             0.36564,            0.037943,           0.0052823,           0.0038464,           0.0092193,           0.0090881,           0.0090881
                   3,            0.047046,            0.014041,            0.007112,             0.68901,             0.86558,             0.77731,             0.54839,             0.02445,           0.0050027,           0.0029238,             0.00865,             0.00865,             0.00865
                   4,            0.043361,            0.013576,           0.0059089,             0.70084,             0.88554,             0.79445,             0.57726,            0.021501,           0.0048845,            0.001956,             0.00865,             0.00865,             0.00865
                   5,            0.041448,             0.01344,           0.0050527,             0.67812,             0.84758,             0.78644,             0.58595,            0.021424,           0.0047438,           0.0020449,              0.0082,              0.0082,              0.0082
                   6,            0.039547,             0.01308,           0.0045813,             0.72852,             0.90337,             0.83366,             0.61608,            0.021702,            0.004483,           0.0020972,             0.00775,             0.00775,             0.00775
                   7,             0.03794,            0.012859,            0.004144,             0.72171,             0.87224,             0.80292,              0.5868,             0.02138,           0.0046206,            0.002265,              0.0073,              0.0073,              0.0073
                   8,            0.036875,            0.012962,            0.004028,             0.70292,             0.89654,             0.78392,             0.60585,            0.018851,            0.004474,           0.0017451,             0.00685,             0.00685,             0.00685
                   9,            0.035743,            0.012514,           0.0037464,             0.71547,             0.88687,             0.80975,             0.63874,            0.018557,           0.0043612,           0.0012675,              0.0064,              0.0064,              0.0064
                  10,            0.034698,            0.012235,           0.0035049,             0.73645,             0.88599,             0.83257,             0.66996,            0.018186,            0.004308,           0.0010128,             0.00595,             0.00595,             0.00595
                  11,            0.034007,            0.012277,           0.0033678,             0.76221,             0.89642,             0.83176,             0.65215,            0.018059,           0.0043232,          0.00097283,              0.0055,              0.0055,              0.0055
                  12,             0.03296,            0.012259,           0.0032486,             0.70069,             0.89782,             0.82656,             0.66328,            0.017769,           0.0042482,            0.001115,             0.00505,             0.00505,             0.00505
                  13,            0.033167,             0.01216,           0.0034066,             0.72561,             0.93238,             0.81778,             0.65881,            0.017004,            0.004152,          0.00071742,              0.0046,              0.0046,              0.0046
                  14,            0.031962,            0.011657,           0.0029931,             0.70322,             0.90997,             0.82892,             0.68263,            0.015832,           0.0041881,          0.00071798,             0.00415,             0.00415,             0.00415
                  15,            0.030706,            0.011692,           0.0027248,             0.72617,             0.89319,             0.82639,             0.68489,            0.015439,           0.0040979,          0.00069879,              0.0037,              0.0037,              0.0037
                  16,            0.030333,            0.011662,           0.0027462,             0.77546,             0.87135,             0.86454,             0.71049,            0.015736,           0.0039562,           0.0009993,             0.00325,             0.00325,             0.00325
                  17,            0.030451,            0.011672,           0.0027637,             0.75922,             0.88069,             0.84428,             0.69821,            0.014951,           0.0039594,           0.0004987,              0.0028,              0.0028,              0.0028
                  18,            0.029448,            0.011338,           0.0025835,             0.75604,             0.89122,             0.82571,               0.694,            0.014747,           0.0040191,           0.0004793,             0.00235,             0.00235,             0.00235
                  19,            0.028949,            0.011242,             0.00258,             0.76915,             0.88069,              0.8482,             0.72078,            0.013986,           0.0038688,          0.00038982,              0.0019,              0.0019,              0.0019
